"Source:","C:\UPTRT\BSPD\PCB\Using 74HC74N with potentiometer\BSPD.kicad_sch"
"Date:","27 Mar 2023 19:49:51"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\UPTRT\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C3","2","47uF","C","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor","",""
"C2","1","470uF","C","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor","",""
"D1, D2","2","DIODE","DIODE","Diode_SMD:D_MELF","Diode symbol for simulation only. Pin order incompatible with official kicad footprints","",""
"J2","1","MX34007NF1","MX34007NF1","CONN_MX34007NF1_JAE","","",""
"R5, R6, R9","3","10k","R","Resistor_SMD:R_0201_0603Metric","Resistor","",""
"R7, R8, R11, R12","4","1k","R","Resistor_SMD:R_0201_0603Metric","Resistor","",""
"R10","1","20k","R","Resistor_SMD:R_0201_0603Metric","Resistor","",""
"R14","1","R","R","Resistor_SMD:R_0201_0603Metric","Resistor","",""
"RV1, RV2","2","10k","R_Potentiometer","Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical","Potentiometer","",""
"U1","1","sn7476n","sn7476n","Package_DIP:DIP-14_W7.62mm_Socket","","",""
"U2","1","LM393","LM393","Package_DIP:DIP-8-16_W7.62mm","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/TO-99-8","",""
"U3","1","4081","4081","","Quad And 2 inputs","",""
"U4","1","74HC04","74HC04","Package_DIP:DIP-14_W7.62mm","Hex Inverter","",""
"U5, U6","2","LM324","LM324","Package_DIP:DIP-14_W7.62mm","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14","",""
